ID,translation 1,translation 2,PoS,ar_hum,ar_txt,cy_hum,cy_txt,en_hum,en_txt,es_hum,es_txt,et_hum,et_txt,fi_hum,fi_txt,fr_hum,fr_txt,he_hum,he_txt,pl_hum,pl_txt,ru_hum,ru_txt,sw_hum,sw_txt,zh_hum,zh_txt
1,arm,muscle,nouns,2.9,0.23773592710494995,0.6,0.19470250606536865,0.692307692,0.36740192770957947,1.4,0.3667607009410858,1.4,0.3070072531700134,1.2,0.4839138090610504,2.6,0.3649149537086487,1.4,0.24230466783046722,1.3,0.25433114171028137,1.1,0.24940602481365204,0.3,0.1869869828224182,1.181818182,0.5116240978240967
2,democracy,monarchy,nouns,0.4,0.3921835720539093,0.3,0.29123252630233765,0.923076923,0.5879890322685242,1.3,0.5673826336860657,1.2,0.44568562507629395,1.6,0.45456722378730774,2.7,0.56137615442276,1.6,0.349465012550354,0.6,0.6301515102386475,0.1,0.6542246341705322,1,0.2215137481689453,0.090909091,0.4016743004322052
3,roof,ceiling,nouns,4.8,0.4187404215335846,4.4,0.04232228547334671,3.692307692,0.5556619167327881,4.8,0.57636559009552,3.4,0.40192392468452454,3.9,0.7113230228424072,4.4,0.4974463880062103,3.8,0.21346235275268555,2.2,0.6162921786308289,2.3,0.4138299524784088,4.3,0.33306771516799927,3.181818182,0.4453223645687103
4,friend,teacher,nouns,0.7,0.226281076669693,0.6,0.23713773488998413,0.307692308,0.48519062995910645,0.4,0.4502975344657898,1.2,0.3460499048233032,0.6,0.4439513683319092,1.4,0.44953736662864685,0.9,0.3819485902786255,0.2,0.534229576587677,1.9,0.36920589208602905,0.4,0.19276049733161926,0.818181818,0.32171767950057983
5,hand,foot,nouns,2.3,0.19008107483386993,0.4,0.15143978595733643,1,0.3923027515411377,1.1,0.29192399978637695,1.5,0.48798832297325134,1.4,0.351370245218277,2.5,0.4525516629219055,1.3,0.2608340084552765,0.7,0.513337254524231,0.4,0.46936047077178955,0.8,0.25900885462760925,0.454545455,0.318950891494751
6,biography,fiction,nouns,0.1,0.23831316828727722,0,0.2540920078754425,0.692307692,0.48701754212379456,0.7,0.26111429929733276,1.5,0.3749333918094635,1,0.404775470495224,2.3,0.4776778221130371,0.8,0.27588069438934326,0.3,0.3677181303501129,1,0.2754426896572113,0.9,0.13381627202033997,2.636363636,0.48526835441589355
7,disc,computer,nouns,1,0.24397127330303192,0.8,0.34912022948265076,0.692307692,0.2866710424423218,1.3,0.30870580673217773,0.6,0.29191136360168457,0.4,0.39871975779533386,2.3,0.4536815583705902,1,0.3968563675880432,1.3,0.5789816975593567,1.4,0.48109376430511475,0.5,-0.0800388902425766,0.545454545,0.47650259733200073
8,fencing,gymnastics,nouns,0.5,0.1645660400390625,0.4,0.2394496202468872,0.769230769,0.4650803208351135,2.6,0.3944706320762634,1.6,0.5989506244659424,1.7,0.5495262145996094,2.5,0.5989919900894165,1.3,0.3495005965232849,0.8,0.5644991993904114,0.4,0.4543030261993408,0,0.1323491483926773,0.909090909,0.5612327456474304
9,bank,seat,nouns,0.2,0.15489041805267334,0.1,0.1513851284980774,0,0.14137758314609528,5.1,0.32810720801353455,0.4,0.0022063551004976034,0,0.18274466693401337,1.9,0.2340908795595169,0.1,0.2209555059671402,0.3,0.18200847506523132,0,0.27380993962287903,0,0.04776463657617569,0.181818182,0.13119176030158997
10,emperor,constitution,nouns,1.2,0.23895898461341858,0.1,0.16172631084918976,0.153846154,0.28414562344551086,1.2,0.16335594654083252,0.8,0.0373985730111599,0.3,0.30583465099334717,1.2,0.20665243268013,0.6,0.22730429470539093,0,0.3006061315536499,0.4,0.29180338978767395,0.3,0.17013637721538544,0.090909091,0.32523319125175476
11,gun,trick,nouns,0,0.27766573429107666,0,0.09803011268377304,0,0.14550532400608063,0.2,0.22160428762435913,0.4,0.2702121436595917,0,0.3254018723964691,4.2,0.20859627425670624,0.2,0.18676497042179108,0.1,0.2534172832965851,0.1,0.1593073308467865,0.1,0.1443081945180893,0.090909091,0.22890038788318634
12,size,magnitude,nouns,4,0.626129686832428,2.7,0.2890615463256836,4.615384615,0.39629125595092773,5,0.4084923267364502,3.5,0.527229368686676,5.8,0.295878142118454,4,0.2943117618560791,4,0.39453259110450745,5.2,0.5435402989387512,4.7,0.46575942635536194,4.9,0.25235721468925476,2.272727273,0.34218770265579224
13,ball,glove,nouns,1.5,0.3494488596916199,0.1,0.17017409205436707,0.538461538,0.43268221616744995,1.1,0.2723974585533142,0.4,0.16019563376903534,0.2,0.4506990909576416,1.4,0.39004841446876526,1,0.22694635391235352,0.2,0.4274391531944275,0.1,0.28662464022636414,1.4,0.2657169997692108,0.181818182,0.3799065053462982
14,sheep,cattle,nouns,3.3,0.5389000773429871,0.7,0.3559221029281616,1.538461538,0.7277434468269348,2.7,0.30639004707336426,1.8,0.3295876383781433,2.5,0.4790222644805908,4,0.47743892669677734,2.6,0.2694796919822693,1.3,0.3547562062740326,3.2,0.48184871673583984,3.3,0.2663326859474182,1.363636364,0.5389440059661865
15,lizard,crocodile,nouns,3.4,0.22915513813495636,1,0.3732016384601593,2,0.64577716588974,2.6,0.34747618436813354,2.6,0.4085722863674164,3.1,0.5198497176170349,3.4,0.5796947479248047,2.8,0.375059574842453,1.3,0.39663809537887573,0.8,0.5469236373901367,2.5,0.3782690465450287,0.454545455,0.5041514039039612
16,friend,guest,nouns,2.7,0.35091254115104675,0.6,0.2022463083267212,1.923076923,0.3461921513080597,1.6,0.25830698013305664,2,0.22302564978599548,0.8,0.45675894618034363,2.9,0.46555593609809875,2.1,0.2713411748409271,1.2,0.3818902373313904,1.2,0.1820562332868576,0.1,0.21638382971286774,3.181818182,0.251190721988678
17,birthday,date,nouns,3.5,0.24077391624450684,1.2,0.20088066160678864,1.692307692,0.30870407819747925,1.4,0.15112321078777313,2,0.4123311936855316,2.1,0.44536247849464417,2.9,0.41141220927238464,1.6,0.1399819701910019,1.9,0.17860090732574463,3.6,0.17102716863155365,1.4,0.3815320134162903,1.454545455,0.38747528195381165
18,car,cab,nouns,4.5,0.6238797307014465,4.1,0.19407013058662415,2.846153846,0.500703752040863,3.8,0.6035040020942688,0,0.07748573273420334,3.2,0.5207014083862305,4,0.5794185996055603,2.7,0.43098336458206177,3.5,0.4642941951751709,2.8,0.40894293785095215,4.3,0.3738877773284912,3.454545455,0.560132622718811
19,bone,teeth,nouns,3.1,0.27358052134513855,0.8,0.2453247308731079,2.076923077,0.4393485188484192,1.7,0.2908042371273041,2.1,0.30831411480903625,2,0.36543479561805725,2.9,0.3262273371219635,1.6,0.24363431334495544,2.3,0.3346373736858368,1.3,0.44042500853538513,0.2,0.2778162658214569,0.636363636,0.5328735113143921
20,umbrella,heater,nouns,0.2,0.1686137169599533,0,0.17935816943645477,0,0.21316497027873993,0.2,0.2266484797000885,0.1,0.21428661048412323,0.1,0.20904122292995453,0.5,0.27588534355163574,1.1,0.13972580432891846,0,0.28312253952026367,0,0.3199155628681183,0,0.21037901937961578,0.090909091,0.2816475033760071
21,frustration,anger,nouns,2.4,0.368517130613327,1.6,0.36540403962135315,4,0.7328811883926392,4.5,0.5457687973976135,2.2,0.3531460762023926,2.3,0.4993143677711487,3.7,0.6600369811058044,3.1,0.5898071527481079,4,0.4672917127609253,2,0.631696343421936,0.2,0.20316898822784424,2.363636364,0.5964680314064026
22,asset,stock,nouns,1.4,0.16065695881843567,3.4,0.3016108274459839,3.538461538,0.32367435097694397,2.6,0.12450358271598816,2.9,0.26519376039505005,0,0.29117560386657715,4,0.3432764410972595,3,0.2560151219367981,0.2,0.07734805345535278,2.2,0.31519877910614014,2.9,0.28483352065086365,2.545454545,0.4411781132221222
23,action,course,nouns,1.2,0.36574164032936096,0,0.027570053935050964,1.692307692,0.2729140520095825,1.3,0.17369763553142548,1.3,0.036867592483758926,0.2,0.39069703221321106,2.6,0.31290557980537415,2,0.34285175800323486,0.9,0.2836376130580902,0.7,0.21565298736095428,0.4,0.20365923643112183,0.363636364,0.3781379759311676
24,celebration,ceremony,nouns,4.3,0.5642126798629761,2.1,0.27047958970069885,3.076923077,0.5856201648712158,4.1,0.3602985143661499,3.5,0.47348377108573914,4.3,0.5686657428741455,5.3,0.6901684999465942,3.2,0.3060993552207947,5.6,0.6270374059677124,3.8,0.33797967433929443,5.4,0.44556769728660583,2.272727273,0.4811306595802307
25,essay,homework,nouns,1.6,0.3387278616428375,1.8,0.1737995147705078,2.615384615,0.4554227292537689,3.3,0.14611393213272095,1.9,0.26673269271850586,2,0.34925806522369385,4.2,0.2855902314186096,1.7,0.3014141917228699,2.4,0.08910374343395233,2.1,0.37533754110336304,0.3,0.28453925251960754,0.909090909,0.22598451375961304
